,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
521,01.10.2024 13:42,SU197087,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
524,01.10.2024 13:25,SU196758,ДВА.группа разработки бизнес-приложений,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
525,01.10.2024 13:23,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
526,01.10.2024 13:23,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
527,01.10.2024 13:19,SU116509,ДПМП.группа управления проектами по телекоммуникациям,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
529,01.10.2024 13:17,SU172323,ДМ.контакт-центр,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
534,01.10.2024 12:55,SU62810,ДИРС.группа SRE-инженеров,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
535,01.10.2024 12:54,SU62810,ДИРС.группа SRE-инженеров,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
536,01.10.2024 12:52,SU163954,ДРП.отдел рекрутинга,Бобер-антистресс,250,0,1,Мерч и сувениры КРОК,закончился
537,01.10.2024 12:52,SU163954,ДРП.отдел рекрутинга,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
538,01.10.2024 12:49,SU97024,ДИМС.группа СКС и Автоматизации инженерных систем,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
539,01.10.2024 12:49,SU97024,ДИМС.группа СКС и Автоматизации инженерных систем,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
543,01.10.2024 12:34,SU190970,ДТК.Сервис.группа техподдержки сетей передачи данных,Коврик для мыши,400,0,1,Прокачай эффективность,на витрине
545,01.10.2024 12:21,SU190970,ДТК.Сервис.группа техподдержки сетей передачи данных,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
551,01.10.2024 12:06,SU91453,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
553,01.10.2024 12:01,SU196712,ДРП.отдел кадров,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
555,01.10.2024 11:58,SU152466,ДИМС,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
558,01.10.2024 11:51,SU90512,ДРПО.Управление контентом и документооборот.группа разработчиков,Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
559,01.10.2024 11:51,SU90512,ДРПО.Управление контентом и документооборот.группа разработчиков,Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
560,01.10.2024 11:49,SU85286,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
565,01.10.2024 11:47,SU196959,ДИМС.Группа электроснабжения и климатических систем,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
566,01.10.2024 11:46,SU64935,ДИРС.Облачные сервисы.группа поддержки продаж облачных сервисов,Панама КРОК х Humanist,1100,0,1,Мерч и сувениры КРОК,закупка
569,01.10.2024 11:44,SU168925,ДПМП.группа сметчиков,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
571,01.10.2024 11:39,SU64935,ДИРС.Облачные сервисы.группа поддержки продаж облачных сервисов,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
575,01.10.2024 11:36,SU139631,ДИРС.группа администраторов сервисных проектов,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
576,01.10.2024 11:34,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
577,01.10.2024 11:34,SU78964,ДРП.отдел кадров,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
578,01.10.2024 11:32,SU196633,ДРП.Геймификация,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
579,01.10.2024 11:31,SU196633,ДРП.Геймификация,Панама КРОК х Humanist,1100,0,1,Мерч и сувениры КРОК,закупка
586,01.10.2024 11:23,SU153901,ДИРС.Информационная безопасность.группа развития бизнеса,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
587,01.10.2024 11:23,SU162906,ДИРС.Информационная безопасность.Центр мониторинга безопасности,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
589,01.10.2024 11:21,SU196672,ДРП.Корпоративная культура,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
590,01.10.2024 11:20,SU86537,ПД.группа комплексного сопровождения проектов,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
